transcript_id,transcript_position,score
ENST00000305533,1286,0.34405625
ENST00000453744,898,0.10121335
ENST00000375643,3060,0.12525146
ENST00000370562,328,0.0648247
ENST00000561090,2441,0.39487717
ENST00000265465,2080,0.034944072
ENST00000264156,932,0.41374728
ENST00000399098,764,0.9024728
ENST00000252934,1859,0.009022764
ENST00000372097,1908,0.07495024
ENST00000391865,558,0.03978585
ENST00000225927,2022,0.3920875
ENST00000270061,622,0.0016004712
ENST00000275603,1663,0.060324546
ENST00000321358,30,0.55922127
ENST00000315660,2019,0.30804393
ENST00000332707,2474,0.050606962
ENST00000216455,479,0.026321352
ENST00000291552,538,0.008929958
ENST00000354336,4115,0.0004878511
ENST00000360614,811,0.00039199507
ENST00000374169,1003,0.732164
ENST00000453386,1997,0.0062957853
ENST00000469257,621,0.959212
ENST00000590151,3530,0.00733633
ENST00000264552,207,0.68849516
ENST00000333188,2550,0.011804552
ENST00000553066,612,0.008647059
ENST00000244520,557,0.1113098
ENST00000466521,1462,0.8812753
ENST00000569417,580,0.00442277
ENST00000331457,619,5.5154083e-05
ENST00000355272,4853,0.9076426
ENST00000345264,365,7.268308e-05
ENST00000431534,725,0.025857423
ENST00000216122,521,0.3684888
ENST00000265896,742,0.97510844
ENST00000238788,1827,0.62806195
ENST00000300933,2311,0.03910949
ENST00000354464,2984,0.016438883
ENST00000389805,1657,0.012832908
ENST00000457879,999,0.0017014747
ENST00000356401,1295,0.039909437
ENST00000394440,883,0.550681
ENST00000612661,2536,0.047841962
ENST00000530022,640,0.01951569
ENST00000246785,643,0.028030356
ENST00000466490,1723,0.0022673912
ENST00000637096,87,0.0060773925
ENST00000630647,1420,0.014007675
ENST00000269601,523,0.102320366
ENST00000324460,973,0.7865296
ENST00000366607,352,0.05187445
ENST00000313269,654,0.24380884
ENST00000339995,2845,0.001485806
ENST00000410062,864,0.065702006
ENST00000373449,972,0.08628909
ENST00000275517,576,0.89623797
ENST00000520944,396,0.3520838
ENST00000616643,1491,7.536175e-05
